crop_id,farm_id,field_id,crop_name,crop_variety,planted_at,expected_harvest_at,actual_harvest_at,area_planted_hectares,seed_quantity_kg,fertilizer_used_kg,pesticide_used_liters,expected_yield_tons,actual_yield_tons,status
CR001,F001,FL001,blé,Rouge d'hiver,9/15/2024,7/20/2025,,65,1950,2600,45.5,227.5,,en cours
CR002,F001,FL002,maïs,DKC 26-28,5/10/2024,10/15/2024,10/18/2024,80.5,2415,4025,80.5,604,618,récolté
CR003,F001,FL003,soya,OAC Prudence,5/20/2024,10/1/2024,10/5/2024,100,2000,0,20,280,275,récolté
CR004,F002,FL004,blé,Robusta,9/10/2024,7/15/2025,,120,3600,6000,0,480,,en cours
CR005,F002,FL005,maïs,Pioneer P8816,5/5/2024,10/10/2024,10/12/2024,130,3900,7800,130,975,990,récolté
CR006,F002,FL006,avoine,Leggett,4/20/2024,8/30/2024,9/2/2024,130,2600,3900,0,468,472,récolté
CR007,F003,FL007,tomate,Beefsteak,4/1/2024,8/15/2024,8/20/2024,45,22,3375,180,1350,1280,récolté
CR008,F003,FL008,laitue,Romaine,3/15/2024,6/1/2024,6/5/2024,50.3,50,1509,0,201.2,195,récolté
CR009,F003,FL009,concombre,Long English,2/1/2024,12/31/2024,,33,16,2475,0,660,,en cours
CR010,F004,FL010,maïs,DKC 39-97,5/1/2024,10/5/2024,10/8/2024,180,5400,10800,180,1440,1465,récolté
CR011,F004,FL011,soya,ProSoya PS 41,5/15/2024,10/15/2024,10/18/2024,200,4000,0,40,560,545,récolté
CR012,F004,FL012,blé,AC Superb,9/20/2024,7/25/2025,,132,3960,6600,0,528,,en cours
CR013,F005,FL013,foin,Timothy,5/1/2024,7/15/2024,7/18/2024,55,275,2750,0,330,335,récolté
CR014,F005,FL014,maïs ensilage,BioEnergy,5/10/2024,9/20/2024,9/25/2024,34.7,1041,2082,34.7,1040,1025,récolté
CR015,F006,FL015,blé,Winter Hawk,9/15/2024,7/20/2025,,200,6000,8000,0,800,,en cours
CR016,F006,FL016,maïs,NK 777,5/5/2024,10/10/2024,10/15/2024,220,6600,13200,220,1760,1790,récolté
CR017,F006,FL017,soya,Harosoy,5/20/2024,10/1/2024,10/4/2024,200,4000,0,40,560,572,récolté
CR018,F007,FL018,carotte,Nantes,4/10/2024,8/20/2024,8/25/2024,60,120,1800,0,1200,1185,récolté
CR019,F007,FL019,poivron,California Wonder,3/20/2024,9/1/2024,9/5/2024,55.8,28,2790,167.4,1116,1095,récolté
CR020,F007,FL020,pomme de terre,Yukon Gold,5/1/2024,9/15/2024,9/18/2024,60,6000,4800,120,1800,1750,récolté
CR021,F008,FL021,blé de printemps,AC Barrie,5/10/2024,9/5/2024,9/8/2024,300,9000,15000,0,1200,1235,récolté
CR022,F008,FL022,canola,InVigor L233P,5/15/2024,9/15/2024,9/20/2024,290,870,14500,580,1015,998,récolté
CR023,F008,FL023,orge,Metcalfe,5/5/2024,8/25/2024,8/28/2024,300,7500,12000,0,1050,1080,récolté
CR024,F009,FL024,pomme,Honeycrisp,4/1/2024,9/30/2024,,80,0,2400,160,800,,en cours
CR025,F009,FL025,fraise,Jewel,4/15/2024,7/30/2024,8/2/2024,60.4,0,3020,0,604,588,récolté
CR026,F009,FL026,foin bio,Trèfle rouge,5/1/2024,7/20/2024,7/22/2024,63,315,0,0,252,248,récolté
CR027,F010,FL027,tomate cerises,Sweet Million,1/15/2024,12/31/2024,,20,10,2000,0,600,,en cours
CR028,F010,FL028,kale,Red Russian,3/1/2024,10/31/2024,,47.2,47,1416,0,283.2,,en cours
